Job,Operation,Machine,Start,Duration,End
1,1,1,0,6,6
1,2,1,6,2,8
1,3,1,8,0,8
2,1,3,0,3,3
2,2,3,3,6,9
2,3,1,9,1,10
3,1,2,0,2,2
3,2,2,2,6,8
3,3,1,8,0,8
