Job,Operation,Machine,Start,Duration,End
1,1,1,3,6,9
1,2,1,1,2,3
1,3,1,1,0,1
2,1,3,7,3,10
2,2,3,1,6,7
2,3,1,0,1,1
3,1,2,7,2,9
3,2,2,1,6,7
3,3,1,1,0,1
