Test,Objective,Iteration,Direction
1,0.0,0,0
2,0.0,2,0
3,0.0,0,1
4,0.0,1,0
5,0.0,0,0
6,0.0,0,0
7,0.0,1,0
8,0.0,0,0
9,0.0,1,0
10,0.0,2,0
MinObj,0.0
MaxObj,0.0
MeanObj,0.00
MinIter,0
MaxIter,2
MeanIter,0.70
Direction#0,9
Direction#1,1
