Job,Operation,Machine,Start,Duration,End
1,1,1,0,2,2
1,2,2,2,3,5
1,3,3,6,4,10
2,1,2,13,1,14
2,2,1,15,2,17
2,3,3,17,3,20
3,1,2,9,3,12
3,2,3,12,5,17
3,3,1,17,2,19
4,1,3,4,2,6
4,2,1,6,6,12
4,3,2,14,4,18
5,1,3,0,4,4
5,2,2,5,4,9
5,3,1,12,2,14
