Job,Operation,Machine,Start,Duration,End,Worker
1,1,5,17,22,39,None
1,2,4,41,30,71,None
1,3,1,71,35,106,None
1,4,3,106,0,106,None
2,1,2,0,15,15,None
2,2,3,15,14,29,None
2,3,4,29,12,41,None
3,1,5,0,17,17,None
3,2,2,17,28,45,None
3,3,3,47,24,71,None
3,4,3,71,0,71,None
4,1,3,29,18,47,None
4,2,5,47,16,63,None
4,3,2,63,15,78,None
4,4,5,78,31,109,None
5,1,4,0,28,28,None
5,2,1,28,30,58,None
5,3,5,63,0,63,None
