Job,Operation,Machine,Start,Duration,End
1,1,5,65,22,87
1,2,4,35,30,65
1,3,1,0,35,35
1,4,4,0,0,0
2,1,2,46,15,61
2,2,3,12,14,26
2,3,4,0,12,12
3,1,4,67,16,83
3,2,1,35,32,67
3,3,2,0,21,21
3,4,5,0,0,0
4,1,3,62,18,80
4,2,5,46,16,62
4,3,2,31,15,46
4,4,5,0,31,31
5,1,2,61,31,92
5,2,5,31,14,45
5,3,4,12,15,27
