Test,Objective,IterationReachBest,Direction
1,55.0,9,0
2,55.0,2,0
3,55.0,10,1
4,55.0,6,0
5,55.0,5,0
6,55.0,5,1
7,55.0,5,1
8,55.0,2,0
9,55.0,3,0
10,55.0,6,1
MinObj,55.0
MaxObj,55.0
MeanObj,55.00
MinIter,2
MaxIter,10
MeanIter,5.30
Direction#0,6
Direction#1,4
