Job,Operation,Machine,Start,Duration,End,Worker
1,1,1,13,2,15,None
1,2,4,17,4,21,None
1,3,6,21,2,23,None
2,1,1,2,4,6,None
2,2,4,6,3,9,None
2,3,9,9,4,13,None
3,1,2,9,5,14,None
3,2,5,19,2,21,None
3,3,8,21,2,23,None
4,1,3,0,4,4,None
4,2,5,4,5,9,None
4,3,6,9,3,12,None
5,1,1,9,4,13,None
5,2,5,18,1,19,None
5,3,7,19,4,23,None
6,1,2,2,5,7,None
6,2,4,9,2,11,None
6,3,7,11,3,14,None
7,1,2,0,2,2,None
7,2,4,2,4,6,None
7,3,8,6,3,9,None
8,1,3,4,4,8,None
8,2,5,9,5,14,None
8,3,6,14,3,17,None
9,1,1,0,2,2,None
9,2,5,2,2,4,None
9,3,9,4,5,9,None
10,1,1,6,3,9,None
10,2,4,11,3,14,None
10,3,8,14,6,20,None
11,1,2,7,2,9,None
11,2,4,14,3,17,None
11,3,9,17,5,22,None
12,1,3,8,4,12,None
12,2,5,14,4,18,None
12,3,6,18,3,21,None
