Test,Objective,IterationReachBest,Direction
1,20.0,30,0
2,20.0,26,0
3,20.0,0,0
4,20.0,5,0
5,20.0,6,0
6,20.0,25,0
7,20.0,8,0
8,20.0,4,0
9,20.0,2,0
10,20.0,11,0
MinObj,20.0
MaxObj,20.0
MeanObj,20.00
MinIter,0
MaxIter,30
MeanIter,11.70
Direction#0,10
Direction#1,0
