Test,Objective,Iteration,Direction
1,59.0,6,0
2,59.0,1,1
3,59.0,0,1
4,59.0,1,1
5,59.0,5,1
6,59.0,6,1
7,59.0,4,1
8,59.0,4,1
9,59.0,2,1
10,59.0,2,1
MinObj,59.0
MaxObj,59.0
MeanObj,59.00
MinIter,0
MaxIter,6
MeanIter,3.10
Direction#0,1
Direction#1,9
