Test,Objective,IterationReachBest,Direction
1,11.0,0,0
2,11.0,0,0
3,11.0,0,1
4,11.0,0,1
5,11.0,0,1
6,11.0,0,1
7,11.0,0,1
8,11.0,0,0
9,11.0,0,1
10,11.0,0,1
MinObj,11.0
MaxObj,11.0
MeanObj,11.00
MinIter,0
MaxIter,0
MeanIter,0.00
Direction#0,3
Direction#1,7
